,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
26,6.99219924869602e-07,6.37876528323725e-07,5.359414658681273e-07,5.526319425421261e-07,1.0757080326718941e-06,4.970937116526398e-07,9.136513765796434e-07,9.378823732446455e-07,7.437381444713387e-07,6.401942067377948e-07,9.28829075328872e-07,6.881758058073689e-07,5.544063577892776e-07,5.262255767031899e-07,7.325731537592478e-07,8.097963199216271e-07,8.481133821933057e-07,6.078226233208974e-07,5.382978468336607e-07,4.954998598200702e-07
27,6.910812570609815e-07,6.956762549199974e-07,5.67934358339427e-07,7.389964085527043e-07,1.1087753531149215e-06,6.526328430323497e-07,9.512047502044944e-07,1.0368361616383754e-06,8.018478625184564e-07,6.110437760338451e-07,1.045221808123763e-06,6.539577212182148e-07,7.11909429790668e-07,6.345590036099167e-07,7.003662286285462e-07,9.888913845094965e-07,8.366762972829755e-07,6.360713190251581e-07,5.734719639405808e-07,4.925328845161819e-07
28,6.365842481519956e-07,6.920556474957723e-07,5.477514622810468e-07,9.161101908521587e-07,1.0408535009621171e-06,7.868245770390327e-07,1.0108504315132217e-06,9.90227903730105e-07,8.365215963383546e-07,6.059346108930419e-07,1.0742935117603248e-06,6.602152623323151e-07,8.159480324291355e-07,7.031442260125934e-07,6.910236651765603e-07,1.06587840814993e-06,7.895416352627271e-07,6.072222817251569e-07,5.607554458717466e-07,4.6710617164712686e-07
29,6.518012085445379e-07,6.727637299264379e-07,5.015792729549002e-07,1.0141815922693445e-06,1.1309475722050993e-06,8.39324998531748e-07,9.357898022422439e-07,9.868385042747876e-07,7.656358453291297e-07,6.963756288350398e-07,1.0604971539207231e-06,7.854303018646442e-07,8.377177449771777e-07,7.042440888862906e-07,8.006338072779215e-07,9.918631823885559e-07,8.773779509262828e-07,5.601754869245515e-07,5.38592367355819e-07,4.5491364638752433e-07
30,7.757454183001374e-07,6.725919805543448e-07,4.632201867667373e-07,1.0366305928914026e-06,1.2487557190186519e-06,8.271143973822829e-07,9.380634383451869e-07,1.1336188063343394e-06,7.985634485821449e-07,7.923507230388328e-07,1.0667459789943307e-06,9.153854096542099e-07,8.118553010915931e-07,6.667332895544723e-07,9.338071711351879e-07,1.0203485929422277e-06,1.0754313431306332e-06,5.332456131125042e-07,5.323483761028307e-07,4.6151723569480863e-07
31,8.733604852453967e-07,6.915744541679687e-07,4.466019741152894e-07,1.0220299509098946e-06,1.165655511087298e-06,7.961349866769215e-07,1.1947397050608897e-06,1.197669182587877e-06,1.0183006937599962e-06,8.178651259889523e-07,1.1237564044074262e-06,9.664995654490736e-07,7.851858447892328e-07,6.280222532538382e-07,9.935398760108532e-07,1.2000666500945118e-06,1.2206861504130653e-06,5.326580620829389e-07,5.396063182822784e-07,4.761966565051335e-07
32,8.845562191767987e-07,7.278022489211468e-07,4.4521230178425535e-07,1.0065270267652498e-06,1.0726702074360616e-06,7.784196830680091e-07,1.4471530677828524e-06,1.0956237739016902e-06,1.19600687722173e-06,7.95546712327857e-07,1.2336799325891305e-06,9.617951608097267e-07,7.789639251582257e-07,6.079386179841464e-07,9.916956177910778e-07,1.2593339174048992e-06,1.2747066021807599e-06,5.48695339486951e-07,5.565180677295663e-07,5.063952134298607e-07
33,8.5418788841925e-07,8.025926945069912e-07,4.6099353652106155e-07,1.003892818082306e-06,1.2881425715519825e-06,7.769461839468353e-07,1.548461643775416e-06,1.0828718097710257e-06,1.2371175648947073e-06,7.676210129550839e-07,1.3835869668011444e-06,9.465685104377772e-07,7.889336545792608e-07,6.029594172449138e-07,9.728771717718813e-07,1.1465380293634484e-06,1.2817092997502638e-06,5.944986696279556e-07,6.052379171202769e-07,5.717296997672688e-07
34,8.227390636701034e-07,9.160637507015152e-07,5.122217826555499e-07,1.0213815790139333e-06,1.5774844147203002e-06,7.859207745287568e-07,1.5494684088556387e-06,1.3091187806876021e-06,1.20277244217895e-06,7.484992219648965e-07,1.5270210488255508e-06,9.460831131713712e-07,8.286956324589023e-07,6.145836993578205e-07,9.643794929000784e-07,1.1444017687543176e-06,1.2839190402020154e-06,6.892733363976605e-07,6.997654434047696e-07,6.530195971186886e-07
35,7.952703633801022e-07,1.012037490337146e-06,6.059515759662102e-07,1.1036569438971598e-06,1.680569498060084e-06,8.437398603940497e-07,1.52801088408263e-06,1.514742519730161e-06,1.1579146783479836e-06,7.514580937603251e-07,1.602026398745503e-06,9.722514964917302e-07,9.449687001852444e-07,6.801021085760199e-07,9.850643991220467e-07,1.3888738048820412e-06,1.3091286198690342e-06,7.962790607329199e-07,7.960835051731065e-07,6.991324127612591e-07
