,0,1,2,3,4
61,4.64278777936547e-16,4.82415497719891e-16,6.736127091262687e-16,6.42838208613167e-16,4.962801459680034e-16
62,4.730954969907096e-16,4.866279963624315e-16,6.794928895619721e-16,6.459111574981148e-16,5.100548452502782e-16
63,4.826015085835773e-16,4.866599023929928e-16,6.906083857360402e-16,6.245588029327842e-16,5.04911425204666e-16
64,4.724623271145038e-16,4.712689929983851e-16,6.849490317995507e-16,6.31618729893622e-16,5.021066297836505e-16
65,4.745079695203614e-16,4.827377133690395e-16,6.789136361326465e-16,6.493487002017776e-16,5.114400421440336e-16
66,4.79114567985392e-16,4.843631337328811e-16,6.723006084049093e-16,6.345571224605615e-16,4.977796836555441e-16
67,4.704945756245726e-16,4.822150194344071e-16,6.961909026660787e-16,6.263394337697409e-16,5.109047180391513e-16
68,4.790795759556343e-16,4.832747702835232e-16,6.812067326928048e-16,6.374451134807962e-16,5.031741329103734e-16
69,4.621859198024893e-16,4.837072569692161e-16,6.746801358850917e-16,6.2921026875334e-16,5.024522830484214e-16
70,4.727308847170641e-16,4.869440493735866e-16,6.682731828900596e-16,6.347209426265227e-16,5.086778322961106e-16
71,4.645788516675719e-16,4.870279218639753e-16,6.790427085545114e-16,6.223966395240933e-16,4.999056655798186e-16
72,4.745951353741326e-16,4.838468811606105e-16,6.718591095657927e-16,6.3464265106256725e-16,4.972032137729481e-16
73,4.718432567256955e-16,4.825940660048669e-16,6.82980024376589e-16,6.347803122281798e-16,4.924767324738001e-16
74,4.631232560751967e-16,4.906165196565013e-16,6.702549827682772e-16,6.345201012676202e-16,5.052582185888741e-16
75,4.7036032684847865e-16,4.763125423740439e-16,6.717515221324343e-16,6.297643219208987e-16,5.067130336002103e-16
76,4.769970903665755e-16,4.95234295551437e-16,6.900444464388017e-16,6.272681940325498e-16,5.056314895434402e-16
77,4.733894750588229e-16,4.971952381865243e-16,6.874114940100503e-16,6.256381099670372e-16,4.942384615266061e-16
78,4.766596202195001e-16,4.817642866927864e-16,6.772901728814544e-16,6.279790281476778e-16,5.132326506343108e-16
79,4.761947910163555e-16,4.81445851626025e-16,6.721620123717296e-16,6.271723084977692e-16,5.066884820515655e-16
80,4.770937019088354e-16,4.870641330183303e-16,6.849625254773503e-16,6.352168583208479e-16,5.044970038564551e-16
