   , TTTT               , TTTF               , TTFT               , TTFF               , FTTT               , FTTF               , FTFT               , FTFF               , TFTT               , TFTF               , TFFT               , TFFF               , FFTT               , FFTF               , FFFT               , FFFF
30 , -3.9556135565575072, -3.955613552305082 , -4.778569079716346 , -4.778569080730534 , -3.9556135576892406, -3.955613540740008 , -4.77856907986133  , -4.778569079551218 , -3.955613555284582 , -3.955613550703476 , -4.778569080298733 , -4.778569079955375 , -3.9556135617883825, -3.9556135456945456, -4.778569079767935 , -4.778569079930069
31 , -3.941168130087456 , -3.941168125836375 , -4.774714236255971 , -4.774714237308876 , -3.9411681312234053, -3.9411681142073847, -4.774714236404228 , -4.774714236078918 , -3.9411681288103444, -3.941168124232519 , -4.7747142368563065, -4.774714236497101 , -3.941168135359086 , -3.9411681191820134, -4.774714236306348 , -4.774714236470944
32 , -3.927273856057483 , -3.9272738518069605, -4.771216155403921 , -4.771216156498288 , -3.927273857197266 , -3.927273840121784 , -4.771216155556485 , -4.771216155213415 , -3.927273854776588 , -3.9272738502016464, -4.77121615601864  , -4.771216155649856 , -3.9272738613652716, -3.9272738451145206, -4.771216155463085 , -4.771216155622262
33 , -3.9138942817195352, -3.9138942774688834, -4.768049756707611 , -4.768049757844844 , -3.9138942828628345, -3.9138942657343043, -4.768049756866743 , -4.768049756500268 , -3.9138942804344503, -3.9138942758621136, -4.768049757328317 , -4.7680497569581295, -3.9138942870586866, -3.913894270742868 , -4.768049756770726 , -4.768049756934058
34 , -3.9009963780918464, -3.9009963738406124, -4.765192179590315 , -4.765192180780288 , -3.9009963792384252, -3.9009963620626005, -4.765192179764948 , -4.765192179372293 , -3.900996376804501 , -3.9009963722327976, -4.765192180231341 , -4.765192179857761 , -3.9009963834583723, -3.900996367085341 , -4.765192179674907 , -4.7651921798271815
35 , -3.8885501368894695, -3.888550132636988 , -4.762622534600258 , -4.762622535839447 , -3.888550138038987 , -3.8885501208209363, -4.762622534788363 , -4.762622534371796 , -3.88855013560015  , -3.8885501310287576, -4.7626225352529925, -4.762622534878902 , -3.8885501422804802, -3.888550125854974 , -4.7626225346909   , -4.762622534852597
36 , -3.8765282233491942, -3.876528219094909 , -4.760321688639047 , -4.760321689939814 , -3.8765282245014836, -3.8765282072455003, -4.760321688848352 , -4.760321688404831 , -3.876528222057129 , -3.8765282174861504, -4.760321689316556 , -4.760321688941198 , -3.876528228760957 , -3.8765282122905984, -4.760321688741227 , -4.760321688923015
37 , -3.8649056761182305, -3.8649056718617754, -4.758272078820228 , -4.758272080183067 , -3.864905677273129 , -3.864905659983285 , -4.7582720790556845, -4.7582720785742385, -3.8649056748243584, -3.8649056702531293, -4.758272079517947 , -4.758272079139428 , -3.864905681547938 , -3.8649056650373725, -4.758272078926899 , -4.7582720791197355
38 , -3.853659646934239 , -3.8536596426751597, -4.756457550411093 , -4.756457551836341 , -3.853659648091512 , -3.853659630771488 , -4.75645755067603  , -4.756457550153306 , -3.853659645637959 , -3.8536596410663884, -4.756457551129101 , -4.756457550748634 , -3.8536596523794473, -3.853659635833229 , -4.756457550533154 , -4.756457550717342
39 , -3.842769174080125 , -3.8427691698181037, -4.754863215259395 , -4.754863216750025 , -3.8427691752394733, -3.8427691578927865, -4.754863215547043 , -4.754863214990687 , -3.842769172782561 , -3.842769168209519 , -4.754863216008133 , -4.75486321561433  , -3.8427691795391064, -3.8427691629609018, -4.7548632153976556, -4.754863215577664
