,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
27,5.5038149025766246e-05,0.00012971140751699944,5.8699900154064075e-05,0.00021271933692087363,0.00012652831950786392,0.0001347895806835356,0.00029778012166123825,6.011706579176417e-05,0.00016104628303300253,5.839633389800544e-05,0.000281656944862831,0.00010899033170557262,0.0001441724395271821,9.12547085331956e-05,0.0001163132185332433,5.8725792941756693e-05,0.00020417098136832107,8.734135475723166e-05,8.207667774922293e-05,7.369524815387612e-05
28,6.158104975508961e-05,0.0001455964983909161,6.640226617649124e-05,0.0002299385917545479,0.00014175665691037407,0.00014798858355571714,0.00032986445676187466,6.743999900335042e-05,0.0001779665354249987,6.60042587194823e-05,0.0003024473299897803,0.00012112364522622638,0.0001588275534610766,0.00010237664870658752,0.00012838441419929625,6.61344814366749e-05,0.00022583508006290034,9.925203955162068e-05,9.212446763577567e-05,8.405625291112945e-05
29,6.860160791719926e-05,0.0001638041914186599,7.50408553211341e-05,0.0002451895796791695,0.00015739591849953956,0.00016103874891219952,0.00036258808643366004,7.502588189931624e-05,0.00019545192179577393,7.406903485177642e-05,0.00032756492789237163,0.00013351594669048196,0.00017404686171723903,0.00011440718554057233,0.00014052983859258976,7.375773134645588e-05,0.00024820242722270247,0.00011257654803692505,0.00010355730463843278,9.504926886152562e-05
30,7.589265308102345e-05,0.0001839733505218827,8.449450561208442e-05,0.000259052538282426,0.0001736545863670611,0.00017470694672917523,0.00039592452779599736,8.303866628308873e-05,0.0002133615627575333,8.237185320570342e-05,0.00035909242928931903,0.00014560204655404815,0.00019096891262673562,0.00012789432545410893,0.00015212829347548417,8.159276524154441e-05,0.00027034311554144575,0.00012691583957410407,0.00011604413649492653,0.00010577766519401581
31,8.3183702027626e-05,0.00020447634937265853,9.418302924136277e-05,0.00027349596187328155,0.00019078390291052245,0.00019028473636462068,0.00042934125984813527,9.167197928216822e-05,0.00023119830322486024,9.084348869265641e-05,0.0003957638815888722,0.00015696735917252933,0.00021078087120778474,0.000143208343844917,0.0001625942858836863,8.970441220981497e-05,0.00029097672398596615,0.00014115361324733785,0.0001285214516681374,0.00011499432954259772
32,9.030739877642216e-05,0.0002227564199681673,0.00010311589115212866,0.0002912780255521203,0.00020890743525490713,0.0002088521512408437,0.00046160526720870435,0.00010106562165950882,0.0002481054168678929,9.967211062821353e-05,0.0004328080631099505,0.00016764949767051804,0.00023372897399960715,0.000160032229330356,0.00017168443426188022,9.818099106581173e-05,0.0003089263934575294,0.00015365438004113623,0.00013943102182849864,0.00012148094952934
33,9.732609179798395e-05,0.00023619969213444015,0.00011016081709249001,0.00031435843882380036,0.0002278655493327363,0.00023031842504119915,0.0004908523447403844,0.00011123252146795215,0.0002630217298804299,0.00010929145454480965,0.0004640001048320728,0.00017833579186659246,0.00025841046297334866,0.00017712815222811854,0.0001797840181092187,0.00010709125770578471,0.00032370883493557936,0.00016276295652263605,0.0001472395782424902,0.00012447860429676283
34,0.00010459575448471624,0.0002430871078400408,0.00011441790215704163,0.00034223127466901184,0.00024713340767634745,0.000252954050821938,0.000514936636550601,0.00012200880542384272,0.00027497313342141327,0.00012019449337270151,0.0004842680134296451,0.00019027866334558362,0.00028195349064203605,0.0001925612394422048,0.0001880238079662241,0.00011643610414786657,0.00033609402930269037,0.0001673827024651249,0.0001509875992381741,0.00012398350074212746
35,0.00011269566453649353,0.00024320166244604517,0.00011553139459730511,0.00037162348215923335,0.00026586447169598814,0.00027383475143879946,0.0005320049015230584,0.00013305739275192713,0.00028345111081727565,0.00013260118361134156,0.0004914072657956152,0.00020477748063372833,0.0003010074768170704,0.00020429863500630402,0.00019801651580304385,0.00012609584176796645,0.00034835024025759386,0.00016738271765405515,0.00015063145312880014,0.00012077456506992444
36,0.00012217697183233782,0.00023785845374546725,0.00011384938249342815,0.00039784602586312163,0.00028306534603621475,0.0002899108313442115,0.0005412148568578105,0.00014394367300912773,0.0002887877454509592,0.0001461405363480794,0.0004864218971785883,0.0002223464520948546,0.00031295868009861193,0.00021090350887874591,0.00021110364114904217,0.00013580079479165845,0.0003637442747285228,0.00016366009486898332,0.0001470449483947357,0.00011614602148803209
