,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20,7.434085891362032e-07,7.518976843548435e-07,6.904805585227391e-07,7.948618544294694e-07,8.133807124880809e-07,7.677187487074387e-07,8.409394637027323e-07,7.878860205448946e-07,8.017080364259929e-07,7.609327520695165e-07,8.053991202200003e-07,7.778605065746488e-07,7.635612568233678e-07,7.474828415311832e-07,7.69937167388072e-07,7.789914282857135e-07,8.192137020165893e-07,7.265342065049171e-07,7.22062620943293e-07,7.14959394095573e-07
21,7.6007459313765e-07,7.66344223478254e-07,7.009505918512741e-07,8.043583277441852e-07,8.312390748678036e-07,7.77675563033969e-07,8.553283126617324e-07,8.016979834193233e-07,8.153293780148911e-07,7.737890658332957e-07,8.133418354137323e-07,7.909849209141601e-07,7.750333678819706e-07,7.575514587742011e-07,7.826536148259279e-07,7.956115677692769e-07,8.331962008133731e-07,7.406909796743057e-07,7.333474151836188e-07,7.287433855829273e-07
22,7.731198906676224e-07,7.78133816881524e-07,7.120049662796739e-07,8.130172494197764e-07,8.462552804367727e-07,7.853343235778e-07,8.664347321169489e-07,8.13418007103944e-07,8.287730514263124e-07,7.8617462713778e-07,8.209362330515099e-07,8.014139402437439e-07,7.878490888441787e-07,7.667950942798437e-07,7.92928707348204e-07,8.106266471620737e-07,8.451778722653862e-07,7.551731155247528e-07,7.443225511583475e-07,7.432412966310792e-07
23,7.844076354397658e-07,7.898710112284673e-07,7.240524919220813e-07,8.225068139367937e-07,8.594636501044267e-07,7.933240120223131e-07,8.774724448648033e-07,8.249934774453951e-07,8.396114462913462e-07,7.973111275275757e-07,8.310650776379053e-07,8.098078080578846e-07,8.007104384173903e-07,7.749034999522291e-07,8.017493655886642e-07,8.231236746961528e-07,8.556694807018625e-07,7.70393694488658e-07,7.570523482489186e-07,7.570202842336166e-07
24,7.949802442881966e-07,8.025266783641147e-07,7.376223152465487e-07,8.320054193655311e-07,8.728212271823531e-07,8.0282392014304e-07,8.893715519734519e-07,8.357522889953553e-07,8.493720948516045e-07,8.062357834315179e-07,8.416156104681441e-07,8.187231441014263e-07,8.140349963121417e-07,7.832776706617395e-07,8.105247227857824e-07,8.338409447744823e-07,8.66679134255007e-07,7.858958560737339e-07,7.714160412233509e-07,7.698493217342774e-07
25,8.043331158646196e-07,8.160327451423826e-07,7.523148573450732e-07,8.421351080121949e-07,8.862242031583415e-07,8.15211394884194e-07,9.01624966415904e-07,8.483032080469261e-07,8.594343206090533e-07,8.135951705868296e-07,8.534370601998583e-07,8.281938431854331e-07,8.26366387093483e-07,7.949959781346894e-07,8.194196732802738e-07,8.421153105197037e-07,8.780196268254319e-07,8.012296722854766e-07,7.860030206563458e-07,7.817186772988342e-07
26,8.137862104240162e-07,8.294217952027069e-07,7.674297214452963e-07,8.532462539395167e-07,8.97554340389975e-07,8.294290076255969e-07,9.123864787776207e-07,8.627524416117761e-07,8.696132234927399e-07,8.208435771013754e-07,8.663634418741594e-07,8.367391687766265e-07,8.371974972425283e-07,8.081763101538252e-07,8.275702964250486e-07,8.5036664213978e-07,8.883846968147149e-07,8.151841059881826e-07,7.996673707732993e-07,7.909149734953218e-07
27,8.229624475582728e-07,8.404786177877657e-07,7.806761616583274e-07,8.653803693887369e-07,9.075839174674407e-07,8.435753093578295e-07,9.20132034239346e-07,8.758010275072941e-07,8.798266406278617e-07,8.284430575390647e-07,8.773582325912637e-07,8.439919665046689e-07,8.486336522506141e-07,8.227170112544834e-07,8.339728607178026e-07,8.585621491499873e-07,8.973807081221805e-07,8.268585116299625e-07,8.110483582428297e-07,7.972559908359455e-07
28,8.319338479868786e-07,8.44847776366232e-07,7.9031089231717e-07,8.781312405348775e-07,9.16075381551982e-07,8.567915692402939e-07,9.271404158287443e-07,8.865257046006571e-07,8.891612844984512e-07,8.356936126898758e-07,8.843214543444337e-07,8.516573724288165e-07,8.614952397686549e-07,8.36410299242297e-07,8.401317352979644e-07,8.682588096295484e-07,9.055618582985196e-07,8.354842532143222e-07,8.178630748375637e-07,7.998817589945046e-07
29,8.407531894401332e-07,8.455452647044383e-07,7.97111793330831e-07,8.885088945712787e-07,9.241048266496562e-07,8.673441787742764e-07,9.346816250418199e-07,8.960925365017298e-07,8.964819669690378e-07,8.441365291915139e-07,8.897587844260393e-07,8.607379663863837e-07,8.726355231787074e-07,8.46726822120181e-07,8.476190832316965e-07,8.784800023084628e-07,9.145117749791816e-07,8.387408529387826e-07,8.193875533841924e-07,7.995141958425433e-07
